,user_id,registered_at,age,first_purchase,before_first_purchase,since_last_purchase,total_purchases,purchase_frequency,total_expenditure,expenditure_per_transaction,brand_new_transactions,purchased amps,purchased acoustic-guitars,purchased effects-and-pedals,purchased drums-and-percussion,purchased accessories,purchased parts,purchased electric-guitars,purchased pro-audio,purchased folk-instruments,purchased bass-guitars,purchased other,purchased keyboards-and-synths,purchased dj-and-lighting-gear,purchased band-and-orchestra,purchased parts-accessories,purchased home-audio,purchased software,first_type,is_seller,first_listing_date,first_sale_date,since_last_listing,since_last_sale,before_first_listing,before_first_sale,total_sales,sales_frequency,earnings,earnings_per_sale,sold effects-and-pedals,sold electric-guitars,sold amps,sold pro-audio,sold folk-instruments,sold accessories,sold band-and-orchestra,sold acoustic-guitars,sold drums-and-percussion,sold other,sold bass-guitars,sold parts,sold keyboards-and-synths,sold dj-and-lighting-gear,sold home-audio
15,1214,2013-02-07 23:04:03.777,1402,2015-09-10 21:48:39.208,945,457,1,0.0007132667617689016,99.0,99.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1640,2013-02-07 23:44:49.297,1402,2013-06-07 02:44:25.173,120,1282,1,0.0007132667617689016,8500.0,8500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1678,2013-02-07 23:48:26.721,1402,2015-01-29 22:21:59.141,721,334,4,0.0028530670470756064,74400.0,18600.0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2183,2013-02-08 00:58:16.746,1402,2014-10-25 18:49:26.818,625,256,3,0.0021398002853067048,49400.0,16466.6666667,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-03-29 06:04:06.891,2016-05-17 16:11:59.832,256,207,1146,1195,1,0.000713266761769,145000,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2224,2013-02-08 01:06:42.454,1402,2015-08-22 13:53:18.447,926,299,2,0.0014265335235378032,280679.0,140339.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2016-08-22 19:05:03.274,2016-08-23 23:03:30.367,110,109,1292,1293,1,0.000713266761769,115000,115000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2229,2013-02-08 01:09:31.220,1402,2014-10-30 02:09:59.554,630,412,9,0.006419400855920114,297198.0,33022.0,4,2,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2014-08-03 18:41:17.988,2014-08-03 19:52:43.054,369,368,542,542,4,0.00285306704708,290898,72724.5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
21,2256,2013-02-08 01:14:47.343,1402,2016-02-21 18:47:42.345,1109,195,3,0.0021398002853067048,41849.0,13949.6666667,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2316,2013-02-08 01:32:39.511,1402,2014-08-10 16:56:34.686,549,20,8,0.005706134094151213,170269.0,21283.625,3,0,0,2,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2801,2013-02-08 04:28:00.666,1401,2014-12-24 06:21:36.321,685,440,5,0.0035688793718772305,214795.0,42959.0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2014-12-20 03:58:59.995,2015-01-02 07:51:44.775,336,324,680,694,10,0.00713775874375,422000,42200.0,1,5,0,0,0,0,0,0,0,0,0,4,0,0,0
24,2856,2013-02-08 05:04:06.429,1401,2015-09-01 23:27:43.261,936,466,2,0.0014275517487508922,1498.0,749.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3129,2013-02-08 11:17:49.011,1401,2014-07-18 17:00:53.627,526,47,63,0.044967880085653104,1044265.0,16575.6349206,24,2,0,14,0,25,16,4,0,0,0,2,0,0,0,0,0,0,1,1,2015-04-17 22:49:12.029,2015-04-29 11:23:29.203,502,244,799,811,25,0.0178443968594,247900,9916.0,14,3,0,0,0,7,0,0,0,0,0,1,0,0,0
26,3195,2013-02-08 12:50:14.732,1401,2014-03-12 00:17:34.397,397,55,4,0.0028551034975017845,320000.0,80000.0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3397,2013-02-08 15:34:21.108,1401,2016-05-30 03:31:45.806,1207,194,1,0.0007137758743754461,24500.0,24500.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3960,2013-02-09 16:06:32.562,1400,2015-11-05 18:24:04.859,1000,396,2,0.0014285714285714286,114999.0,57499.5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4123,2013-02-09 16:37:00.848,1400,2015-01-04 02:39:32.766,694,243,8,0.005714285714285714,64600.0,8075.0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015-06-16 23:18:35.078,2015-09-01 21:02:26.158,321,311,858,935,3,0.00214285714286,41000,13666.666666666666,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4549,2013-02-10 03:11:19.697,1399,2015-09-08 15:01:27.527,941,38,4,0.0028591851322373124,359500.0,89875.0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,4813,2013-02-11 03:42:51.640,1398,2013-12-16 22:08:52.135,309,1012,2,0.001430615164520744,28600.0,14300.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5321,2013-02-11 21:18:57.681,1398,2015-06-17 16:35:48.822,856,148,3,0.002145922746781116,37217.0,12405.6666667,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5324,2013-02-11 21:27:04.022,1398,2014-10-02 07:34:33.309,598,800,1,0.000715307582260372,129900.0,129900.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5621,2013-02-12 22:09:16.485,1397,2014-01-15 02:52:31.055,337,1060,1,0.0007158196134574087,300.0,300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6101,2013-02-13 22:52:26.257,1396,2015-11-16 11:32:59.552,1006,327,2,0.0014326647564469914,43300.0,21650.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2013-11-24 15:05:37.458,2013-12-10 16:28:02.965,1076,1014,284,300,5,0.00358166189112,161000,32200.0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6267,2013-02-15 05:42:55.987,1394,2013-09-23 03:57:52.164,220,928,2,0.0014347202295552368,145369.0,72684.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6300,2013-02-15 17:57:42.865,1394,2015-02-18 04:46:23.437,733,661,1,0.0007173601147776184,700.0,700.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6367,2013-02-16 00:01:30.052,1394,2013-11-01 02:31:06.151,259,12,2,0.0014347202295552368,88599.0,44299.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6420,2013-02-16 00:04:47.223,1394,2015-03-24 00:59:23.855,767,32,7,0.005021520803443328,184172.0,26310.2857143,5,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6564,2013-02-16 00:11:42.029,1394,2015-03-15 16:39:11.697,758,13,5,0.003586800573888092,105249.0,21049.8,3,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2015-10-01 00:25:32.446,2015-10-05 01:42:55.920,437,433,958,962,1,0.000717360114778,13000,13000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6768,2013-02-16 00:24:43.946,1394,2014-04-18 17:24:51.906,427,62,7,0.005021520803443328,374799.0,53542.7142857,2,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6795,2013-02-16 00:27:39.596,1394,2015-05-27 19:24:03.740,831,96,9,0.006456241032998565,80968.0,8996.44444444,6,0,0,2,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2016-06-28 12:39:44.773,2016-07-11 00:32:47.972,165,153,1229,1242,1,0.000717360114778,32000,32000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,7234,2013-02-16 01:14:58.648,1394,2013-12-10 21:15:07.635,298,12,21,0.015064562410329985,298036.0,14192.1904762,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7370,2013-02-16 01:34:07.525,1394,2015-07-02 22:39:20.618,867,151,5,0.003586800573888092,74745.0,14949.0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2013-07-30 20:44:50.581,2013-08-28 16:41:32.789,302,239,165,194,9,0.006456241033,1105500,122833.33333333333,0,6,0,0,2,0,0,1,0,0,0,0,0,0,0
45,7489,2013-02-16 01:59:59.640,1393,2014-01-03 05:30:59.533,322,470,8,0.00574300071787509,45856.0,5732.0,6,0,0,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7545,2013-02-16 02:10:46.028,1393,2015-06-03 06:29:05.007,838,96,3,0.0021536252692031586,24497.0,8165.66666667,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2015-05-13 23:29:40.157,2015-05-14 04:58:55.080,27,18,817,818,4,0.00287150035894,560000,140000.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
47,7904,2013-02-16 04:00:53.680,1393,2016-11-09 03:02:02.025,1362,31,1,0.0007178750897343862,700.0,700.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8003,2013-02-16 04:50:24.573,1393,2015-02-27 17:42:58.961,742,652,1,0.0007178750897343862,28000.0,28000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8300,2013-02-16 10:49:01.489,1393,2016-05-16 12:48:35.358,1186,208,1,0.0007178750897343862,3600.0,3600.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8680,2013-02-16 15:27:37.881,1393,2015-09-13 13:04:13.657,939,454,1,0.0007178750897343862,99.0,99.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,8811,2013-02-16 16:46:21.492,1393,2016-04-06 03:11:20.965,1145,248,2,0.0014357501794687725,37000.0,18500.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,9104,2013-02-16 19:49:31.828,1393,2013-02-17 14:45:09.087,1,587,4,0.002871500358937545,20397.0,5099.25,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,9112,2013-02-16 19:55:05.858,1393,2014-02-20 03:54:27.947,369,1024,1,0.0007178750897343862,328.0,328.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,9271,2013-02-16 22:38:28.366,1393,2016-10-11 03:34:52.150,1333,60,1,0.0007178750897343862,58500.0,58500.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,9305,2013-02-16 23:25:07.898,1393,2014-12-17 22:35:54.760,669,12,18,0.012921751615218953,349438.0,19413.2222222,5,2,0,11,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2015-05-24 12:24:52.253,2015-06-15 10:34:13.193,32,8,827,849,13,0.00933237616655,480200,36938.46153846154,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0
56,9326,2013-02-16 23:41:53.045,1393,2015-03-04 20:52:41.136,746,640,2,0.0014357501794687725,1400.0,700.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,9360,2013-02-17 00:09:01.247,1393,2014-12-06 12:08:36.330,658,16,10,0.007178750897343862,483774.0,48377.4,4,0,0,1,0,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,9589,2013-02-17 02:58:39.737,1392,2013-07-16 04:14:27.582,150,42,7,0.005028735632183908,69853.0,9979.0,4,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,9595,2013-02-17 03:09:05.098,1392,2016-07-15 22:43:47.575,1245,26,3,0.0021551724137931034,52495.0,17498.3333333,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,10253,2013-02-18 19:26:29.744,1391,2015-06-28 20:03:06.743,861,531,1,0.0007189072609633358,399.0,399.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,10342,2013-02-19 02:06:30.076,1390,2015-09-21 13:10:46.860,945,446,1,0.0007194244604316547,3057.0,3057.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2013-02-20 21:44:22.828,2013-02-23 20:38:35.528,301,270,2,5,3,0.00215827338129,315000,105000.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10830,2013-02-21 00:03:11.769,1389,2013-10-08 22:15:21.109,230,1028,2,0.0014398848092152627,6800.0,3400.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,10841,2013-02-21 00:20:11.380,1389,2015-06-07 21:11:58.017,837,552,1,0.0007199424046076314,19000.0,19000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,11146,2013-02-21 06:26:29.791,1388,2013-08-09 15:02:46.777,170,112,7,0.005043227665706052,396995.0,56713.5714286,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,11407,2013-02-21 20:19:01.885,1388,2013-12-05 20:52:24.365,288,16,9,0.006484149855907781,148500.0,16500.0,4,1,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,11722,2013-02-23 13:21:45.221,1386,2014-10-24 00:41:51.227,608,379,5,0.0036075036075036075,965.0,193.0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2015-07-27 00:37:34.014,2015-07-31 17:06:57.055,499,357,884,889,4,0.002886002886,67500,16875.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,12203,2013-02-26 15:52:29.945,1383,2014-11-11 20:23:29.751,624,9,8,0.005784526391901663,267999.0,33499.875,1,0,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,12312,2013-02-26 22:34:19.954,1383,2013-05-06 20:17:24.076,69,567,3,0.0021691973969631237,168500.0,56166.6666667,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,12340,2013-02-27 00:28:18.127,1383,2015-08-02 16:50:24.838,887,361,3,0.0021691973969631237,45215.0,15071.6666667,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,12424,2013-02-27 13:03:25.462,1382,2013-06-08 10:45:04.955,101,115,6,0.004341534008683068,105200.0,17533.3333333,2,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,1,2013-03-01 17:47:34.363,2013-03-02 16:33:06.092,115,7,3,4,14,0.0101302460203,570495,40749.642857142855,1,7,0,0,1,0,0,1,0,1,1,2,0,0,0
71,12476,2013-02-27 18:54:17.790,1382,2015-09-15 01:39:08.171,930,448,2,0.001447178002894356,61000.0,30500.0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,12653,2013-02-28 04:57:40.927,1381,2015-09-10 22:03:47.871,925,457,1,0.000724112961622013,297.0,297.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,13035,2013-03-02 15:04:42.441,1379,2013-12-14 01:24:18.787,287,1093,1,0.0007251631617113851,4500.0,4500.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014-02-06 21:49:04.782,2014-02-08 16:50:03.766,47,34,342,344,6,0.00435097897027,145000,24166.666666666668,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,13154,2013-03-03 14:17:47.991,1378,2015-08-16 17:58:03.797,897,73,3,0.0021770682148040637,31521.0,10507.0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,13886,2013-03-08 04:53:43.398,1373,2016-07-14 04:21:00.433,1224,137,2,0.0014566642388929353,50500.0,25250.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,14218,2013-03-08 23:44:15.791,1373,2013-10-02 16:17:10.966,208,408,9,0.0065549890750182084,76973.0,8552.55555556,3,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2015-11-18 00:20:21.169,2015-11-19 22:48:36.017,389,387,985,986,1,0.000728332119446,6500,6500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,14285,2013-03-09 00:54:30.979,1373,2014-01-09 02:32:16.559,307,486,2,0.0014566642388929353,10499.0,5249.5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,14362,2013-03-09 02:35:46.515,1372,2015-04-28 11:33:08.609,781,490,2,0.0014577259475218659,5398.0,2699.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,14776,2013-03-10 18:01:33.535,1371,2015-06-01 16:21:57.783,813,164,17,0.012399708242159009,253113.0,14889.0,4,2,1,8,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,14816,2013-03-10 20:57:30.204,1371,2014-09-02 19:02:14.942,541,794,2,0.0014587892049598833,25899.0,12949.5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
